episode,step,episode_distraction_prob,x,y,dx,dy,dist_to_goal,dist_to_distractor,local_distractor,focus,speed,dir_change,fatigue
1,27,0.12647544208461892,9,8,0,-1,1.0,2.0,1,0,1.0,1.0,21
1,28,0.12647544208461892,9,9,0,1,0.0,4.123105625617661,0,1,1.0,2.0,21
1,29,0.12647544208461892,9,9,0,0,0.0,6.082762530298219,0,0,0.0,1.0,22
1,30,0.12647544208461892,9,9,0,0,0.0,12.727922061357855,0,0,0.0,0.0,23
1,31,0.12647544208461892,9,9,0,0,0.0,6.0,0,0,0.0,0.0,24
1,32,0.12647544208461892,9,9,0,0,0.0,8.54400374531753,0,0,0.0,0.0,25
1,33,0.12647544208461892,9,9,0,0,0.0,11.40175425099138,0,0,0.0,0.0,26
1,34,0.12647544208461892,8,9,-1,1,1.0,10.295630140987,0,0,1.4142135623730951,2.0,27
1,35,0.12647544208461892,9,9,1,0,0.0,9.055385138137417,0,1,1.0,3.0,27
1,36,0.12647544208461892,9,9,0,0,0.0,12.041594578792296,0,0,0.0,1.0,28
1,37,0.12647544208461892,9,9,0,0,0.0,8.94427190999916,0,0,0.0,0.0,29
1,38,0.12647544208461892,8,9,-1,1,1.0,5.830951894845301,0,0,1.4142135623730951,2.0,30
1,39,0.12647544208461892,9,9,1,0,0.0,12.041594578792296,0,1,1.0,3.0,30
1,40,0.12647544208461892,9,9,0,0,0.0,10.63014581273465,0,0,0.0,1.0,31
1,41,0.12647544208461892,9,9,0,0,0.0,5.0,0,0,0.0,0.0,32
1,42,0.12647544208461892,9,9,0,0,0.0,5.0,0,0,0.0,0.0,33
1,43,0.12647544208461892,9,9,0,0,0.0,6.708203932499369,0,0,0.0,0.0,34
1,44,0.12647544208461892,9,9,0,0,0.0,9.219544457292887,0,0,0.0,0.0,35
1,45,0.12647544208461892,9,9,0,0,0.0,4.47213595499958,0,0,0.0,0.0,36
1,46,0.12647544208461892,9,9,0,0,0.0,7.810249675906654,0,0,0.0,0.0,37
1,47,0.12647544208461892,9,9,0,0,0.0,8.94427190999916,0,0,0.0,0.0,38
1,48,0.12647544208461892,9,9,1,0,0.0,9.848857801796104,0,0,1.0,1.0,39
1,49,0.12647544208461892,9,9,0,0,0.0,4.123105625617661,0,0,0.0,1.0,40
2,0,0.4911937974709337,3,2,1,-1,9.219544457292887,1.4142135623730951,1,0,1.4142135623730951,0.0,1
2,1,0.4911937974709337,4,3,1,1,7.810249675906654,6.0,0,1,1.4142135623730951,2.0,1
2,2,0.4911937974709337,3,3,-1,0,8.48528137423857,2.0,1,0,1.0,3.0,2
2,3,0.4911937974709337,4,4,1,1,7.0710678118654755,3.0,0,1,1.4142135623730951,3.0,2
2,4,0.4911937974709337,5,5,1,1,5.656854249492381,5.656854249492381,0,1,1.4142135623730951,0.0,2
2,5,0.4911937974709337,6,6,1,1,4.242640687119285,2.23606797749979,0,1,1.4142135623730951,0.0,2
2,6,0.4911937974709337,7,7,1,1,2.8284271247461903,5.0990195135927845,0,1,1.4142135623730951,0.0,2
2,7,0.4911937974709337,8,8,1,1,1.4142135623730951,7.0710678118654755,0,1,1.4142135623730951,0.0,2
2,8,0.4911937974709337,9,9,1,1,0.0,7.0,0,1,1.4142135623730951,0.0,2
2,9,0.4911937974709337,9,9,0,0,0.0,3.0,0,0,0.0,2.0,3
2,10,0.4911937974709337,9,9,0,0,0.0,7.615773105863909,0,0,0.0,0.0,4
2,11,0.4911937974709337,9,8,0,-1,1.0,1.0,1,0,1.0,1.0,5
2,12,0.4911937974709337,9,9,0,1,0.0,10.0,0,1,1.0,2.0,5
